1	Heús, adulescens.
1a	Quís properantem mé reprehendit pállio?
2	Familiaris.
2a	Fateor, nam odio es nimium familiariter.
3	Réspice vero, Thésprio.
3a	Oh,
4	Epidicumne ego conspicor?
5	Satis recte oculis uteris.
6	Salve.
6a	Di dent quae velis.
7	veníre salvom gaudeo.
7a	Quid ceterum?
7b	Quod eo adsolet:
8	cena tibi dabitur.
8a	Spondeo.
8b	Quid?
8c	Me accepturum, si dabis.
9	Quid tú agis? ut vales? exemplum adesse intellego. euge,
10	córpulentior videre atque habitior.
10a	Huic gratia.
11	Quám quidem te iam diu
11a	perdidisse oportuit.
12	Mínus iam furtificus sum quam antehac.
12a	Quid ita?
12b	Rapio propalam.
13	Di immortales te infelicent, ut tu es gradibus grandibus.
14	nam út apud portum te conspexi, curriculo occepi sequi:
15	vix adipiscendi potestas modo fuit.
15a	Scurra es.
15b	Scio
16	te esse equidem hominem militarem.
16a	Audacter quam vis dicito.
17	quid ais? perpetuen valuisti?
17a	Varie.
17b	Qui varie valent,
18	capreáginum hominum nón placet mihi néque pantherinúm genus.
19	Quid tíbi vis dicam nisi quod est? ut illaé res? responde.
19a	Probe.
20	Quid erílis noster filius?
20a	Valet púgilice atque athletice.
21	Voluptábilem mihi nuntium tuo advéntu adportas, Thesprio.
22	sed ubíst is?
22a	Advenit simul.
22b	Vbi is ergo est? nisi si in vidulo
23	aut si in mellina attulisti.
23a	Di te perdant.
23b	Te volo—
24	percóntari: operam da, ópera reddetúr tibi.
25	Ius dícis.
25a	Me decet.
25b	Iam tu autem nobis praeturam geris?
26	Quem díces digniorem esse hominem hódie Athenis alterum?
27	At únum a praetura tua,
27a	Epídice, abest.
27b	Quidnam?
27c	Scies:
28	lictores duo, duo ulmei
28a	fasces virgarum.
28b	Vae tibi.
29	sed quíd ais?
29a	Quid rogas?
29b	Vbi árma sunt Stratíppocli?
30	Pól illa ad hostis transfugerunt.
30a	Armane?
30b	Atque equidem cito.
31	Sérione dicis tu?
31a	Sério, inquam: hostes habent.
32	Édepol facinus improbum.
32a	At iam ante alii fecerunt idem.
33	erit illi illa res honori.
33a	Qui?
33b	Quia ante aliis fuit.
34	Mulciber, credo, arma fecit quaé habuit Stratippocles:
35	travolaverunt ad hostis.
35a	Tum ille prognatus Theti
36	sine perdat: alia apportabunt éi Nerei filiae.
37	id módo videndum est, ut materies suppetat scutariis,
38	si in singulis stipendiis is ad hostis exuvias dabit.
39	Supersede istis rebus iam.
39a	Tu ipse, ubi lubet, finem face.
40	Desiste percontarier.
40a	Loquere ipse: ubist Stratippocles?
41	Est causa qua causa simul mecum ire veritust.
41a	Quidnam id est?
42	Patrem videre se nevolt etiam nunc.
42a	Quapropter?
42b	Scies.
43	quia forma lepida et liberali captivam adulescentulam
44	dé praeda mercatust.
44a	Quid ego ex te audio?
44b	Hoc quod fabulor.
45	Cúr eam emit?
45a	Animi causa.
45b	Quót illic homo animos habet?
46	nam cérto, prius quam hinc ád legionem abiít domo,
47	ipsús mandavit mi, áb lenone ut fídicina,
48	quam amábat, emeretúr sibi. id ei ímpetratum réddidi.
49	Vtcúmque in alto ventust, Epidice, exim velum vortitur.
50	Vaé misero mihí, male perdidit me.
50a	Quíd istuc? quidnam est?
51	Quid istanc quam emit, quanti eam emit?
51a	Vili.
51b	Haud istuc te rogo.
52	Quid ígitur?
52a	Quot minis?
52b	Tot: quadraginta minis.
53	íd adeo argentum ab danista apud Thébas sumpsit faenore,
54	in dies minasque argenti singulas nummis.
54a	Papae.
55	Ét is danista advenit una cúm eo, qui argentum petit.
56	Di immortales, ut ego interii basilice.
56a	Quid iam? aut quid est,
57	Epídice?
57a	Perdidit me.
57b	Quís?
57c	Ille qui arma pérdidit.
58	Nam quíd ita?
58a	Quia cottidie ipse ad me ab legione epistulas
59	mittebat—sed taceam optumum est,
60	plus scire satiust quam loqui servom hominem. ea sapientia est.
61	Néscio edepol quid tu timidus es, trepidas, Epidice, ita voltum tuom†
62	videór videre commeruisse hic me absente in te aliquid mali.
63	Potin út molestus ne sies?
63a	Abeo.
63b	Asta, abire hinc non sinam.
64	Quíd nunc me retinés?
64a	Amatne ístam quam emit de praeda?
64b	Rogas?
65	deperit.
65a	Detegetur corium de tergo meo. †
66	Plusque amat quam te umquam amavit.
66a	Iuppiter te perduit.
67	Mítte nunciam, nam ílle me vetuit domum
68	venire, ad Chaeribulum iussit huc in proxumum;
69	íbi manere iussit, eo venturust ipsus.
69a	Quid ita?
69b	Dicam:
70	quía patrem prius convenire se non volt neque conspicari,
71	quám id argentum, quod debetur pro illa, denumeraverit.
72	Eú edepol res turbulentas.
72a	Mitte me ut eam nunciam.
73	Haécine ubi scibit senex,
74	púppis pereunda est probe.
75	Quíd istuc ad me attinet,
76	quó tu intereas modo?
77	Quía perire solus nolo, te cupio perire mecum,
78	benevolens cum benevolente.
78a	Abi ín malam rem maxumam a me
79	cum ístac condicione.
79a	I sane, siquidem festinas magis.
80	Numquam hominem quemquam conveni, unde abierim lubentius.—
81	Illic hinc abiit. solus nunc es. quo in loco haec res sit vides,
82	Epidice: nisi quid tibi in tete auxili est, absumptus es.
83	tantae in te impendent ruinae: nisi suffulcis firmiter,
84	non potes subsistere, itaque in te inruont montes mali.
85	néque ego nunc quó modo
86	me éxpeditum ex impedito faciam, consilium placet.
87	égo miser pérpuli
88	meís dolis senem, ut censeret suam sese emere filiam:
89	ís suo fílio
