1	Curate ut splendor meo sit clupeo clarior
2	quam solis radii esse olim quom sudumst solent,
3	ut, ubi usus veniat, contra conserta manu
4	praestringat oculorum aciem in ácie hostibus.
5	nam ego hanc machaeram mihi consolari volo,
6	ne lamentetur neve animum despondeat,
7	quia se iam pridem feriatam gestitem,
8	quae misera gestit † et fratrem facere ex hostibus.
9	sed ubi Artotrogus hic est?
9a	Stat propter virum
10	fortem atque fortunatum et forma regia;
11	tum bellatorem — Mars haud ausit dicere
12	neque aequiperare suas virtutes ad tuas.
13	Quemne ego servavi in campis Curculioniis,
14	ubi Bumbomachides Clutomistaridysarchides
15	erat imperator summus, Neptuni nepos?
16	Memini. nempe illum dicis cum armis aureis,
17	cuius tú legiones difflavisti spiritu,
18	quasi ventus folia aut paniculum tectorium.
19	Istuc quidem edepol nihil est.
19a	Nihil hercle hoc quidemst
20	praeut alia dicam — quae tu numquam feceris.
21	periuriorem hoc hominem si quis viderit
22	aut gloriarum pleniorem quam illic est,
23	me sibi habeto, ego me mancupio dabo;
24	nisi unum, epityrum estur insanum bene.
25	Vbi tu es?
25a	Eccum. edepol vel elephanto in India,
26	quo pacto ei pugno praefregisti bracchium.
27	Quid, bracchium?
27a	Illud dicere volui, femur.
28	At indíligenter iceram.
28a	Pol si quidem
29	conisus esses, per corium, per viscera
30	perque os elephanti transmineret bracchium.
31	Nolo istaec hic nunc.
31a	Ne hercle operae pretium quidemst
32	mihi te narrare tuas qui virtutes sciam.
33	venter creat omnis hasce aerumnas: auribus
34	peraurienda sunt, ne dentes dentiant,
35	et adsentandumst quidquid hic mentibitur.
36	Quid illúc quod dico?
36a	Ehem, scío iam quid vis dicere.
37	factum hercle est, memini fieri.
37a	Quid id est?
37b	Quidquid est.
38	Habes —
38a	Tabellas vis rogare? habeo, et stilum.
39	Facete advortis tuom animum ad animum meum.
40	Novisse mores tuos me meditate decet
41	curamque adhibere, ut praeolat mihi quod tu velis.
42	Ecquid meministi?
42a	Memini: centum in Cilicia
43	et quinquaginta, centum in Scytholatronia,
44	triginta Sardos, sexaginta Macedones
45	† sunt homines quos tu occidisti uno die.
46	Quanta istaec hominum summast?
46a	Septem milia.
47	Tantum esse oportet. recte rationem tenes.
48	At nullos habeo scriptos: sic memini tamen.
49	Edepol memoria es optuma.
49a	Offae monent.
50	Dum tale facies quale adhuc, assiduo edes,
51	communicabo semper te mensa mea.
52	Quid ín Cappadocia, ubi tu quingentos simul,
53	ni hebes machaera foret, uno ictu occideras?
54	At peditastelli quia erant, sivi viverent.
55	Quid tibi ego dicam, quód omnes mortales sciunt,
56	Pyrgopolynicem te unum in terra vivere
57	virtute et forma et factis invictissumum?
58	amant ted omnes mulieres, neque iniuria,
59	qui sis tam pulcher; vel illae quae here pallio
60	me reprehenderunt.
60a	Quid eae dixerunt tibi?
61	Rogitabant: hicine Achilles est? inquit mihi.
62	immo eius frater inquam est . ibi illarum altera
63	ergo mecastor pulcher est inquit mihi
64	“et liberalis. vide caesaries quam decet.
65	ne illae sunt fortunatae quae cum isto cubant.”
66	Itane aibant tandem?
66a	Quaen me ambae obsecraverint,
67	ut te hodie quasi pompam illa praeterducerem?
68	Nimiast miseria nimis pulchrum esse hominem.
68a	Immo itast.
69	molestaé sunt: orant, ambiunt, exobsecrant
70	videre ut liceat, ad sese arcessi iubent,
71	ut tuo non liceat dare operam negotio.
72	Videtur tempus esse, ut eamus ad forum,
73	ut in tabellis quos consignavi hic heri
74	latrones, ibus denumerem stipendium.
75	nam rex Seleucus me opere oravit maxumo,
76	ut sibi latrones cogerem et conscriberem.
77	regi hunc diem mihi operam decretumst dare.
78	Age eamus ergo.
78a	Sequimini, satellites. —
79	Mihi ad enarrandum hoc argumentum est comitas,
80	si ad auscultandum vostra erit benignitas;
81	qui autem auscultare nolet, exsurgat foras,
