pr.1	Nec fonte labra prolui caballino
pr.2	nec in bicipiti somniasse Parnaso
pr.3	memini, ut repente sic poeta prodirem.
pr.4	Heliconidasque pallidamque Pirenen
pr.5	illis remitto, quorum imagines lambunt
pr.6	hederae sequaces: ipse semipaganus
pr.7	ad sacra vatum carmen adfero nostrum.
pr.8	quis expedivit psittaco suum chaere,
pr.9	picamque docuit verba nostra conari?
pr.10	magister artis ingenique largitor
pr.11	venter, negatas artifex sequi voces;
pr.12	quod si dolosi spes refulserit nummi,
pr.13	corvos poetas et poetridas picas
pr.14	cantare credas Pegaseium nectar.
1.1	O curas hominum, o quantum est in rebus inane!
1.2	quis leget haec? min tu istud ais? nemo hercule. nemo?
1.3	vel duo vel nemo. turpe et miserabile! quare?
1.4	ne mihi Polydamas et Troiades Labeonem
1.5	praetulerint? nugae. non, si quid turbida Roma
1.6	elevet, accedas examenque improbum in illa
1.7	castiges trutina, nec te quaesiveris extra,
1.8	nam Romae quis non—ali, si fas dicere—sed fas
1.9	tunc cum ad canitiem et nostrum istud vivere triste
1.10	aspexi ac nucibus facimus quaecumque relictis,
1.11	cum sapimus patruos; tunc tunc ignoscite; (nolo:
1.12	quid faciam? sed sum petulanti splene) cachinno.
1.13	Scribimus inclusi, numeros ille, hic pede liber,
1.14	grande aliquid, quod pulmo animae praelargus anhelet.
1.15	scilicet haec populo pexusque togaque recenti
1.16	et natalicia tandem cum sardonyche albus
1.17	sede leges celsa, liquido cum plasmate guttur
1.18	mobile conlueris, patranti fractus ocello.
1.19	tunc neque more probo videas nec voce serena
1.20	ingentis trepidare Titos, cum carmina lumbum
1.21	intrant et tremulo scalpuntur ubi intima versu,
1.22	tun, vetule, auriculis alienis colligis escas,
1.23	auriculis, quibus et dicas cute perditus ohe ?
1.24	quo didicisse, nisi hoc fermentum et quae semel intus
1.25	innata est rupto iecore exierit caprificus?
1.26	en pallor seniumque! o mores, usque adeone
1.27	scire tuum nihil est, nisi te scire hoc sciat alter?
1.28	at pulchrum est digito monstrari et dicier hic est ;
1.29	ten cirratorum centum dictata fuisse
1.30	pro nihilo pendes? ecce inter pocula quaerunt
1.31	Romulidae saturi, quid dia poemata narrent;
1.32	hic aliquis, cui circum umeros hyacinthina laena est,
1.33	rancidulum quiddam balba de nare locutus
1.34	Phyllidas, Hypsipylas, vatum et plorabile siquid,
1.35	eliquat ac tenero subplantat verba palato.
1.36	adsensere viri: nunc non cinis ille poetae
1.37	felix? non levior cippus nunc inprimit ossa?
1.38	laudant convivae: nunc non e manibus illis,
1.39	nunc non e tumulo fortunataque favilla
1.40	nascentur violae? rides, ait, et nimis uncis
1.41	naribus indulges, an erit qui velle recuset
1.42	os populi meruisse et cedro digna locutus
1.43	linquere nec scombros metuentia carmina nec tus?
1.44	Quisquis es, o modo quem ex adverso dicere feci,
1.45	non ego cum scribo, si forte quid aptius exit,
1.46	quando haec rara avis est, si quid tamen aptius exit,
1.47	laudari metuam; neque enim mihi cornea fibra est.
1.48	sed recti finemque extremumque esse recuso
1.49	euge tuum et belle. nam belle hoc excute totum:
1.50	quid non intus habet? non hic est Ilias Atti
1.51	ebria veratro? non siqua elegidia crudi
1.52	dictarunt proceres? non quidquid denique lectis
1.53	scribitur in citreis? calidum scis ponere sumen,
1.54	scis comitem horridulum trita donare lacerna,
1.55	et verum inquis amo, verum mihi dicite de me.
1.56	qui pote? vis dicam? nugaris, cum tibi, calve,
1.57	pinguis aqualiculus propenso sesquipede extet.
1.58	o Iane, a tergo quem nulla ciconia pinsit,
1.59	nec manus auriculas imitari mobilis albas,
1.60	nec linguae quantum sitiat canis Apula tantum! 
1.61	vos, o patricius sanguis, quos vivere fas est
1.62	occipiti caeco, posticae occurrite sannae.
1.63	quis populi sermo est? quis enim, nisi carmina molli
1.64	nunc demum numero fluere, ut per leve severos
1.65	effundat iunctura ungues? scit tendere versum
1.66	non secus ac si oculo rubricam derigat uno.
1.67	sive opus in mores, in luxum, in prandia regum
1.68	dicere, res grandes nostro dat Musa poetae.
1.69	ecce modo heroas sensus adferre videmus 
1.70	nugari solitos graece, nec ponere lucum
1.71	artifices nec rus saturum laudare, ubi corbes
1.72	et focus et porci et fumosa Palilia faeno,
1.73	unde Remus sulcoque terens dentalia, Quinti.
1.74	cum trepida ante boves dictatorem induit uxor
1.75	et tua aratra domum lictor tulit: euge poeta!
1.76	est nunc Brisaei quem venosus liber Acci,
1.77	sunt quos Pacuviusque et verrucosa moretur
